"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,Titel,Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Kommentar zur Signatur,Stadium der Werkgenese,Autographe Funktion,"intere Sicherung vormaliger ""Typ""-Einträge",Übergeordnete Quelle,Untergeordnete Quelle,Übergeordnete Quelle zweiter Ordnung/ Untergeordnete Quelle zweiter Ordnung,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung,Tempoangabe,Sprachcode (falls mehrere mit | abtrennen),Text-Incipit,Widmung diplomatisch,Kommentar zur Widmung,Datierung diplomatisch auf Quelle,Datierung auf Quelle maschinenlesbar,Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND Ort,Schrift,Umfang,Papier,Bezug zu Druck: Verlags-GND,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar,Kommentar intern,Digitalisat,Bearbeiter,,,,
,,R 32,Grande Valse di Bravura,D-WRgs,GSA 60/H 1,,,Skizze,,,,,x,,,Valse ,"von Liszt mit Tinte geschrieben, der wahrscheinliche Zusatz ""di bravura"" wurde mit einem dicken Tintenfleck, der den Text unlesbar macht, gestrichen",,Kl,Presto - molto vivace,,,,,,,,,,,,Liszt (schwarze Tinte),"9 Seiten Notentext, 2 Leerseiten [S. 177-187] ","Querformat, ??? x ??? mm, 24 Notenzeilen, handrastriert",,,,,,,,"Unvollendete Niederschrift mit schwarzer Tinte. Es handelt sich hierbei um eine frühere Version der Grande Valse di Bravura, die auf [S. 189] beginnt (daher ist der Notentext nicht deckungsgleich mit dem Druck in NLGA. Suppl., Bd. 13, S. 7-17/24). Die Notation ist sehr dicht gesetzt, mit kaum Lücken zwischen den einzelnen Systemen, zudem nummeriert Liszt sogleich die Takte 1-17 für die Wiederholung, die unten rechts auf der Seite bereits ansetzt. Im Anschluss erfolgt oben auf [S. 180] ein Strich mehrerer Takte, über den ein Verweiszeichen und der Hinweis "":+: voyez correction 1re"" gesetzt sind. Die besagte Korrektur ist auf der verso-Seite des Blattes, das dem Beginn des Walzers vorausgeht, eingetragen [S. 178] und als ""Correction de la Walse. | Correction 1re"" bezeichnet. Eine weitere ""Correction"" am unteren Ende der [S. 180] ist gestrichen worden. In der Folge ereignet sich im Manuskript etwas Kurioses, die [Seite 181/182] ist nämlich herausgerissen, so dass nur noch Reste des Notentextes vorhanden sind. Im Anschluss setzt die Notation jedoch in der für diesen Entwurf gewohnten Manier fort. Dieser endet abrupt nach dem Ende des ersten Systems auf [S. 186], im Druck der NLGA entspräche dies ungefähr dem Takt 291.
Es gibt keine Anzeichen, warum Liszt die Niederschrift so unvermittelt abgebrochen hat.",,"Notentext entspricht im wesentlichen der Druckfassung, wobei es aber immer wieder Abweichungen von dem Notentext des hier vorliegenden Entwurfs gibt.",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192049,DTie,,,,
,,-,[Skizze für Harfe],D-WRgs,GSA 60/H 1,,,Skizze,,,,,x,,,,,,Hrf,,,,,,,,,,,,,Liszt (schwarze Tinte),1 Seite Notentext [S. 188],"Querformat, ??? x ??? mm, 24 Notenzeilen, handrastriert",,,,,,,,"Skizze für ""harpe"" von 19 Takten Länge, Generalvorzeichnung 3b, mit schwarzer Tinte ausgeführt.",,"Identifikation wenn überhaupt nur mit Software möglich, denke ich",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192049,DTie,,,,
,,R 452,Malédiction,D-WRgs,GSA 60/H 2,,,Skizze,,,,,x,,,,Impiratxxx Markierung [?],extrem flüchtig und unleserlich mit schwarzer Tinte geschrieben,"Str-Orch, Kl",,,,,,,,,,,,,Liszt (schwarze Tinte),"4 Einzelblatt (??), 8 Seiten Notentext [S. 71-78]","Hochformat, ??? x ??? mm, 16 Notenzeilen, handrastriert",,,,,,,,"Vier Skizzenblätter zur ""Malédiction"", von Liszt mit schwarzer Tinte geschrieben. Der Notentext ist sehr flüchtig ausgeführt und die Musik lässt sich auch vage zu den unterschiedlichen Motiven/Themen zuordnen. Die Blätter scheinen auch aus einem größeren Zusammenhang herausgerissen worden zu sein, was an der gezackten Beschaffenheit der Ränder auszumachen ist.",,"Zuordnung des Notentextes grob möglich, aber wohl nicht notwendig",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192087,DTie,,,,
,,R 452,Malédiction,D-WRgs,GSA 60/H 13a,,,Skizze,,Entwürfe und Skizzen,,,,,,,,,"Str-Orch, Kl",,,,,,,,,,,,,Liszt (schwarze Tinte),"16 Blatt zu ?? Bogen, 29 Seiten Notentext, 3 Leerseiten","1) Hochformat, ??? x ??? mm, 20 Notenzeilen, handrastriert
2) Hochformat, ??? x ??? mm, 24 Notenzeilen, handrastriert",,,,,,einzelne Blätter und Bögen zum Teil eingerissen und abgenutzt,,"Quelle umfasst verschiedene Blatt und Bögen mit Entwürfen zu einer früheren Fassung der ""Malédiction"". Der sämtlich in schwarzer Tinte niedergeschriebene Notentext weicht dabei stark musikalisch, metrisch und tonal von dem Druck in der GA ab, nur an wenigen Stellen lassen sich eindeutige Bezüge in der musikalischen Substanz herausarbeiten (so auf [S. 17] mit Buchstaben P). Die Entwürfe weisen einerseits zwar viele Striche auf, sind andererseits jedoch recht genau ausgearbeitet und vielfach in Partitur (Str5+Kl) notiert. Es gibt insgesamt allerdings wenig Orientierung, so fehlen Titel, Einordnung, Paginierung und der Entwurf bricht am Ende sehr unvermittelt ab.",,"Zuordnung des Notentextes grob möglich, aber wohl nicht notwendig",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192114,DTie,,,,
,,R 454,"Fantasie über Motive aus Beethovens ""Ruinen von Athen""",D-WRgs,GSA 60/H 8,,,Skizze,,,,,,,,,,,"Orch (2 Fl, 2 Ob, 2 Klar, 2 Fg, 2 Hr, 2 Trp, 3 Pos, Bck, Trg, Pk, Vl, Vla, Vlc, Kb), Kl",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)","5 Blatt zu 2 Bogen und einem Einzelblatt, 10 Seiten Notentext, paginiert","Querformat, ??? x ??? mm, 18 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,,,"Entwurf des Orchestersatzes zur Fantasie von Beethovens ""Ruinen von Athen"", der ebenso unvermittelt einsetzt wie abrupt endet. S. 1 des Entwurfs entspricht dabei in etwa dem Notentext auf S. 16 der gedruckten Partitur (s. Link imslp). Der Klavierpart ist nur in Incipits als Orientierung geschrieben, Liszts Fokus lag hier in der Ausarbeitung des Orchesters. Notentext und Besetzungsangaben sind mit schwarzer Tinte geschrieben, zudem weist das Autograph Rasuren und Striche auf. Darüber hinaus schreibt Liszt Hinweise und Dynamik mit Bleistift (s. S. 2 hinter der Klavierstimme, ""Wie gedruckt""). Auf S. vier oben rechts zeichnet Liszt das Violinen-Solo aus, ""Violino Primo Solo - tutti tacet"" (in gedruckter Partitur ab S. 27, letzter Takt). Auch dass anschließend nach dem Abschnitt Platz für die Notation des Klavierparts gelassen werden soll, wird von ihm am Ende der Seite mit schwarzer Tinte vermerkt: ""eine | Seite | für das | Clavier | allein | leer lassen"". Auf S. 5, die auch einige Ergänzungen und Korrekturen des Notentextes mit Bleistift enthält, beginnt dann das berühmte Thema von Beethovens Türkischem Marsch (Part. S. 32). S. 7. Strich der Bratschenstimme und Korrektur am unteren Rand des Blattes nach Verweiszeichen. Ab T. 8 zeigt Liszt das große Crescendo (""cresc - ff fff"") mit Bleistift an, notiert aber zuerst nur den Streichersatz, in den peu à peu weitere Instrumente einsetzen. Weitere Bleistiftergänzungen in Violoncello und Viola auf S. 9. Der Entwurf bricht nach S. 10 ab, sechs Takte nach Eintritt des punktierten Marsch-Themas (Partitur S. 46). ",,nur Ausschnitt/Entwurf; wo ist der Rest?,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192108,DTie,https://vmirror.imslp.org/files/imglnks/usimg/f/fe/IMSLP79554-PMLP14418-Fantaisie_ruines_d_athenes_complete059.pdf,,,
,,-,[Király-Hymnus] (Erkel),H-Bn ,Ms. mus. 4.049,,,Skizze,,,,,,,,,,,Orch (?),,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)","1 Blatt, 2 Seiten Notentext","Querformat, ca. 85 x 322 mm, 4 Notenzeilen, handrastriert
brauner Schutzumschlag mit Marmorpapier, Quelle ist innen eingeschlagen, Querfomat, 200 x 340 mm",,,Oszk lelt. | Zenemütár,OSZK lelt. | Zenemütár,,"Abschnitt ist mehrfach gefaltte, zunächst in der Mitte, dann Falzung von ca. 1 cm am linken Rand",,"Das Fragment wirkt wie eine abgelöste Überklebung, wobei keine Klebespuren auf der Rückseite festzustellen sind. M. Eckhardt identifiziert es als zu Liszts Korrekturen von Erkels Király-Hymnus zugehörig. Es ist ein elftaktiger Partiturausschnitt, der am oberen linken Eck (erst nach Aufklappen der Falzung lesbar) mit Bleistift zu ""Seite 7"" zugeteilt ist. Zu lesen sind blockweise alternierende Fanfaren-Motive, am Ende eine wohl viertaktige Wiederholung (keine Zahlen oder Buchstaben sind hier sichtbar) sowie ein Abschluss. Mit Bleistift sind von Liszt zudem zwei ""p"" im fünften Takt hinzugesetzt.
Auf der Rückseite findet sich eine sechstaktige Bleistiftskizze von der jedoch alles außer die absteigende Achtellinie zu Beginn gestrichen ist. Zuordnung fraglich. ","Abgleichen mit M. Eckhardt, Nr. 75 (S. 218-213)",,wird angekauft,DTie,,,,V. 822/863/1966
,,,[Skizzen],US-NYpm,Cary 562 L774.D487,,Signaturen Morgan Library unklar: Call und Accession Number in Datenbank,Skizze,,Entwürfe und Skizzen,,,,,Deux Allegri | di Bravura. | composées et dediées | à | son bienfaiteur |Mr le | Compte Thade d'Amade etzetzetz | par son très humble | et très obéissant serviteur | François Liszt | agé de doux ans | op 1 | Monsieur,"vom jungen Liszt mit schwarzer Tinte geschrieben (?) [wäre dann noch sehr uncharakteristische Handschrift]
unter dem ""Monsieur"" findet sich eine Bleistifteintragung (""To [...]""), die jedoch nicht mehr lesbar ist.",,,"Kl / Orch (Fl, Holzbläser, Streichquartett)",Allegro,,,,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt, 1 Titelseite, 3 Seiten Notentext","1) Hochformat, 339 x 238 mm, 18 Notenzeilen, handrastriert
2) Hochformat, 337 x 236 mm, 18 Notenzeilen, handrastriert",,,Ossip Gabrilowitsch; Clara Clemens; Phyllis Harrington,Ossip Gabrilowitsch; Clara Clemens; Phyllis Harrington,,"Papier an den Rändern angenutzt und entsprechend restauriert bzw. verstärkt, Quelle wurde in der Mitte gefaltet aufbewahrt; beide Blätter (1 und 2) sind geringfügig unterschiedlich in ihrer Größe

Wasserzeichen (s. Kommentar)",Skizzen bzw. Entwürfe eines Klavierstücks (Blatt 1v und 2 v) und zu einem Symphonie-Menuettsatz (Blatt 2r),"Notation mit schwarzer Tinte beginnt auf der Rückseite der Titelseite. Rasch fließender Satz im 12/8tel Takt, Dreiklangsbrechungen in der linken, Melodie in der rechten Hand, 33 Takte (Blatt 1v). Liniengekrakel im zweiten und dritten System (ganz feine Kreise mit Tinte). Die letzten beiden Systeme scheinen mit einem breiten Bleistiftstrich (?) vom Rest abgetrennt.
Eine Überschrift/Einordnung findet sich oben auf Blatt 2r: ""Fragment de Menuet d'une Simphonie""; links daneben eine Notiz, ""tres | mauvais (?) | premier (?) comme (?) | le Thême"". Notiert ist in einem quasi Particell ein Satz in A-Dur, der junge Liszt trug v.a. am linken Rand, aber auch in den Noten die entsprechenden Instrumente, ""Violino I und II"", ""quatuor"", ""Flutes | et Instru | ments | à vent"", ein. Ein mögliches Trio findet sich im untersten Notensystem mit punktiertem Beginn in B-Dur notiert. Rechts quer neben den Noten finden sich zwei Namen: ""G Bruz G Bruzand"" (?). 
Auf Blatt 2v wird die Komposition von Blatt 1v weitergeführt (20 Takte). Im untersten System kehrt das erste Thema wieder und ist mit einer englischen (?) Notiz versehen, ""with Amorous Expression"". ","mit dem Symphonie-Fragment aus Weimar vergleichen

wohl zwei Stücke skizziert

Papier der Quelle weist Wasserzeichen auf (eine Art stilisierte Krone, aber keine Buchstaben oder Ähnliches zu erkennen), ggf. frz Machart (Symphoniefragment wohl in Paris geschrieben) [Wasserzeichen photographiert]",,https://www.themorgan.org/sites/default/files/pdf/music/115154.pdf,DTie,,,,
,,-,Skizze von einigen Takten für eine Instrumentierung,A-Wn ,F28.Goellerich.618,VI | 7 | 29,,Skizze,,,,,,,,,,,"Picc, 2 Fl, Vl, Vla, Vlc, Kb",,,,,,,,,,,,,"Liszt (schwarze Tinte, roter Stift)","1 Blatt, 1 Seite Notentext, 1 Leerseite","Hochformat, ca. 263 x168-180 mm, 10 Notenzeilen, handrastriert",,,Musiksammlung Österr. Nationalbibliothek,MUSIKSAMMLUNG | ÖSTERR. | NATIONALBIBLIOTHEK,,"Blatt ist schräg zugeschnitten, daher das variierte Höhenmaß",,"Autographe Skizze von Liszt mit schwarzer Tinte. Am oberen Rand des Blattes eine aufsteigende Linie in ""kleine | Flöte"" und ""2 Flöten"" (gebrochener f-Moll Dreiklang, dann chromatisch fallend in Picc vom f zum c). Am unteren Ende des Blatts ein offensichtlich dazugehöriges Streicher-Temolo in f-Moll (keine Schlüsselung, daher Harmonik nicht ganz klar, ggf ""d"" im Bass"". Alles wurde jedoch nachträglich von Liszt mit rotem Stift gestrichen.",,"Signatur muss noch einmal geprüft werden

Identifikation ggf. möglich, f-Moll, Orchestersatz (Symph Dichtung??)","wird angefragt, photographiert",DTie,,,,
,,R 556,Chorgesang zur Enthüllung des Herder-Denkmales,D-WRgs,GSA 60/B 28,,,Skizze,,,,,x,,,,,,MCh (TTBB),,Dt,In jener Liebe der's gelang der Weisen Kunst,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext","Hochformat, ??? x ??? mm, 16 Notenzeilen, handrastriert",,,,,,Skizze und die Abschrift/Ausführung (?) von Raff wohl auf einem zusammenhängenden Bogen notiert,,"Flüchtige Skizze von Liszts Hand mit schwarzer Tinte, geschrieben sind nur die Noten des Männerchors sowie der Text dazwischen. Zur Orientierung notiert Liszt am linken Rand ""2te"" und ""3te"" [Strophe] auf der recto- sowie ""4te Strophe"" auf der verso-Seite des Blatts. Pausen des Chors, in denen wohlmöglich das Orchester Spielt, sind mit leeren Taktstrichen angedeutet (s. verso-Seite, ""26 Takte bleiben -""). Der Schluss ist ein Unisono-C am Ende von [S. 32]. ",derselbe Schreiber wie bei GSA 60/B 24b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190901,DTie,,,,
,,R 538,II. Beethoven-Kantate (1870),D-WRgs,GSA 60/B 15,"Ms B, 15",,Skizze,,,,,,,Skizzen zur Beethovenkantate von 1870.,von Raabe mit Bleistift geschrieben,,,"Orch (2 Fl, 2 Ob, 2 Klar in A, 2 Fg, 4 Hr in D, Vl, Vla, Vlc, Kb), Chor",,Dt,Sternenscheinende Eisenflammende Winternacht voll himmlichen Scheins,,,,,,,,,,"Liszt (schwarze Tinte, roter Stift, Bleistift)","4 Blatt zu 2 Bogen, 5 Seiten Notextext, 3 Leerseiten","Hochformat, ??? x ??? mm, 30 Notenzeilen, handrastriert",,,,,,"Quelle wurde quer zur Mitte gefaltet aufbewahrt, was die dunkle Verfärbung deutlich zeigt",,"Skizzen zur zweiten Beethovenkantate von Liszt, mit schwarzer Tinte geschrieben, teilweise von Raabe identifiziert. Dieser schreibt auf Blatt 2r mit Bleistift, ""Anfangstakte der Beethovenkantate von 1870 | R."" Skizziert sind dort 13 Takte im Orchester, inklusive Besetzungsliste vor dem System. Weitaus mehr Notentext findet sich auf dem zweiten Bogen, der auch mit ""15 Décem WD [?]."" datiert ist. Hier sind Orchesterpart im Klaviersatz und Chor skizziert, alles aber auf Blatt 3r mit Bleistift gestrichen. Der Notentext auf Blatt 3v weist eine ähnliche Flüchtigkeit in der Ausführung auf, wobei hier nur fünf Takte in der sechsten Akkolade mit Tinte gestrichen sind, aber durch das Fehlen von Text kein Chorsatz mehr auszumachen ist. Vokalmusik ist wieder auf Blatt 4r mit ""Wie hier der Rhein lässt schallen"", mit 4b Vorzeichnung zu erkennen. Den ersten Ansatz im dritten System strich Liszt jedoch wieder. Weitere Skizzen in diesem Modus finden sich auch auf der Rückweite, wo im zweiten System Liszt an einer Stelle mit rotem Stift korrigiert. Skizzen und Quelle enden unvermittelt mit dem Ende des Blatts.",derselbe Schreiber wie bei GSA 60/B 24a,"fraglich, wie und ob hier eine Zuordnung möglich ist - diese zweite Kantate ist noch nicht ediert, oder?",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190772,DTie,,,,
,,,Sammlung ungarischer Melodien,D-BHna,NA II C h Nr. 1,,,,,Reinschriften / Skizzen | Sammlung,x,,,,ungarischer Romanzero (?),von Liszt mit Tinte auf Blatt 1v bzw. S. 2 geschrieben,,sämtliche Titel von Liszt mit schwarzer Tinte geschrieben,Kl,,,,,,Weimar 22 Juni 1853,1853-06-22,,"Die Datierung stammt allerdings von Reményitöl, der ab S. 53 die Sammlung mit 19 eigenen ungarischen Melodien weiteführt",Weimar,,4065105-8,"Liszt (schwarze Tinte, roter Stift), [(Eduard? Reményi 116436085), schwarze Tinte]","41 Blatt zu 18 Bögen und 5 Einzelblatt, [Liszt] 1 Titelblatt, 45 Seiten Notentext, [Eduard? Reményi 116436085] 1 Titelseite, 14 Seiten Notentext, 21 Leerseiten, nachträglich mit Bleistift paginiert,
prunkvoller Einband mit Umschlagspapier, das die Quelle hält","Querformat, 171 x 213 mm, 10 Notenzeilen, handrastriert,
Einband: 183 x 233 mm",,,Nationalarchiv Richard Wagner Stiftung Bayreuth,NATIONALARCHIV RICHARD WAGNER STIFTUNG BAYREUTH [impregnierter Stempel],,"Quelle in 4 Lagen zusammengebungen (Lage 1: 5 Bogen, 2 Einzelblatt; Lage 2: 4 Bogen, 1 Einzelblatt ""dazwischen""; Lage 3: 5 Bogen; Lage 4: 4 Bogen, 2 Einzelblatt ""danach""","Sammlung verschiedener ungarischer Melodien, Stücke oder Skizzen durch Liszt (19) und [Eduard Reményi 116436085]? (19), von beiden im Autograph und ""Reinschrift"" notiert","Sammlung ungarischer Melodien und Stücke, beginnend mit einer leeren, unrastrierten Seite und einem Titel von Liszt, ""ungarischer Romanzero"" auf der Innenseite (S. 2). Es folgen zunächst die nahezu in Reinschrift mit nur wenigen Korrekturen notierten 19 Melodien/Stücke im Autograph von Franz Liszt (S. 3-52, Leerseiten: 22, 26, 36, 46 und 52), im Anschluss eine handschriftliche Titelseite/Widmung von Reményitöl (S. 53) und die Notation von 19 Melodien und Fragmenten von diesem (S. 54-67). Die folgenden Seiten (S. 86-82) sind allesamt unbeschrieben, aber rastriert.

Der prunkvolle Einband scheint mit Pergamentpapier überzogen, weist ein goldenes florales Muster und einen dunkelblauen Winkel oben links auf. Auf der Rückseite ""nur"" das ockerfarbene ""Papier"" und der goldene florale Rahmen. Zudem sind die Initialen LP oder PL unten rechts groß gedruckt.

Die Quelle selber ist gebunden, aber ohne ""Umschlag"" oder Einband. Auf dem Buchrücken lassen sich Buchstaben in Fraktur-Schrift erkennen (? photographiert).","Man müsste einmal recherchieren, wann Liszt mit der Musik von Csermák, Biharoi und Jomb in Berührung gekommen ist, was ihn zur Erstellung dieser Sammlung bewogen hat und wie die hier notierten Melodien in Zusammenhang mit seinen anderen ungarischen Kompositionen stehen. zudem: wie kommt Remnényi ins Spiel.

Was verbirgt sich hinter den Initialien auf dem Einband?","Titelseite von Reményi ist auf ungarisch; übersetzen lassen.

Die notierte Melodien Reményis sind hier nicht im Einzelnen aufgenommen.",https://digital.wagnermuseum.de/ncrw/content/zoom/25780,DTie,"Laut Benedek Nagy handelt es sich bei dem Text von Reményi auf S. 53 um eine verehrungsvolle ""Widmung"" an den Adressaten Liszt, der ihm wohl geholfen hat, die Sammlung um weitere ungarische Original-Melodien zu bereichern.",,,
,,,Sammlung ungarischer Melodien,D-BHna,NA II C h Nr. 1,,,Arbeitsmanuskript,,Reinschriften / Skizzen | Sammlung,,x,,,,,Csermak,,Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte, roter Stift)",S. 3,"Querformat, 171 x 213 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Saubere Schrift, kleine Variante in der rechten Hand im ersten Takt, über dem System notiert. Korrekturen der Ossia-Linie der rechten Hand im zweiten System mit rotem Stift (wird hier zum einzigen Mal in der gesamten Sammlung eingesetzt). Am Ende, Da Capo-Hinweis",,Nr. 1-11 als PDF in der NLGA (Adrienne),https://digital.wagnermuseum.de/ncrw/content/zoom/25784,DTie,Nr. 1-11 als PDF in der NLGA (Adrienne),,,
,,,Sammlung ungarischer Melodien,D-BHna,NA II C h Nr. 1,,,Skizze,,Reinschriften / Skizzen | Sammlung,,x,,,,,Friska,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 4,"Querformat, 171 x 213 mm, 10 Notenzeilen, handrastriert",,,,,,,,Streichung von sieben Takten im zweiten und dritten System. Ergänzung vor dem Beginn des letzten Systems auf frei gezogenen Linien.,,,https://digital.wagnermuseum.de/ncrw/content/zoom/25785,DTie,,,,
,,,Sammlung ungarischer Melodien,D-BHna,NA II C h Nr. 1,,,Skizze,,Reinschriften / Skizzen | Sammlung,,x,,,,,Csermák | Lasst und bluten | und beten,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 5-6,"Querformat, 171 x 213 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Oben rechts notiert Liszt blass den Titel, ""Lasst uns bluten | und beten"". Ergänzung ganz unten am Seitenende auf frei gezogenen Linien.",,,https://digital.wagnermuseum.de/ncrw/content/zoom/25786,DTie,,,,
,,,Sammlung ungarischer Melodien,D-BHna,NA II C h Nr. 1,,,Skizze,,Reinschriften / Skizzen | Sammlung,,x,,,,,Friska Bihari,,Kl,Alleg[ro] molto,,,,,,,,,,,,Liszt (schwarze Tinte),S. 7,"Querformat, 171 x 213 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Saubere Schrift, ohne Korrekturen.",,,https://digital.wagnermuseum.de/ncrw/content/zoom/25788,DTie,,,,
,,,Sammlung ungarischer Melodien,D-BHna,NA II C h Nr. 1,,,Skizze,,Reinschriften / Skizzen | Sammlung,,x,,,,,"Csermák N° 3 ""Mihore (?)""","das ""Mihore (?)"" evtl. nachträglich mit Tinte ergänzt",Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. (8)9-11,"Querformat, 171 x 213 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Das Stück beginnt mit einer sauberen Niederschrift, unten rechts auf S. 9 setzt Liszt jedoch ein Verweiszeichen, das zu einer Ergänzung auf der gegenüberliegenden Seite 8 verweist. Dabei handelt es sich wohl um die Variante, die bei der Wiederholung angezeigt ist. Am Ende des zweiten Systems notiert Liszt, ""Da Capo con [?] | 8ttavi e ornamenti"". Zudem schreibt er unten auf S. 9, ""À changer nach E Pedala Dominanta"". Auf S. 10 ist eine Veränderung in der Tintenstärkte ab dem ersten Takt im System drei bemerkbar (wohl Pause bei der Niederschrift?); vom dickeren Auftrag zur ganz feiner Federführung.",,,https://digital.wagnermuseum.de/ncrw/content/zoom/25790,DTie,"Ergänzung bereits auf S. 8:
https://digital.wagnermuseum.de/ncrw/content/zoom/25789",,,
,,,Sammlung ungarischer Melodien,D-BHna,NA II C h Nr. 1,,,Skizze,,Reinschriften / Skizzen | Sammlung,,x,,,,,Primatzialis Nota Bihari -,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 12-13,"Querformat, 171 x 213 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Niederschrift mit etwas flüchtigem Charakter; erstes System auf S. 13 gestrichen 8und zuvor mit einem ""(?)"" versehen), Ergänzungen freihändig am unteren Seitenende. ",,,https://digital.wagnermuseum.de/ncrw/content/zoom/25793,DTie,,,,
,,,Sammlung ungarischer Melodien,D-BHna,NA II C h Nr. 1,,,Skizze,,Reinschriften / Skizzen | Sammlung,,x,,,,,Csermák | (in Es),,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 14-16,"Querformat, 171 x 213 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Hier scheint Liszt das Original von Csermák von Es-Dur nach A-Dur transponiert zu haben. Zudem der Hinweis am Beginn, ""2da volta in l'8ttave"". Der Rest ist sauber notiert, wobei Liszt im ersten System auf S. 16 eine A-B-Abbreviatur nutzt.",,,https://digital.wagnermuseum.de/ncrw/content/zoom/25795,DTie,,,,
,,,Sammlung ungarischer Melodien,D-BHna,NA II C h Nr. 1,,,Skizze,,Reinschriften / Skizzen | Sammlung,,x,,,,,Nagy der Ditte - Bihari,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 17-20,"Querformat, 171 x 213 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Saubere Niederschrift ohne Korrekturen trotz des schwer lesbaren Titels zu Beginn. Die Kadenz unten auf S. 17 ist nicht komplett ausgeführt, sondern endet mit dem Hinweis ""etc"". Abbreviaturen A-B und 1-3 am Schluss auf S. 20.",,,https://digital.wagnermuseum.de/ncrw/content/zoom/25798,DTie,,,,
,,,Sammlung ungarischer Melodien,D-BHna,NA II C h Nr. 1,,,Skizze,,Reinschriften / Skizzen | Sammlung,,x,,,,,Csermák -,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),S. 21,"Querformat, 171 x 213 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Saubere Niederschrift, Ergänzung und Verweiszeichen unten rechts am Seitenende (alternativer Schlussakkord). Zudem Abbreviatur 1-8. ",,,https://digital.wagnermuseum.de/ncrw/content/zoom/25802,DTie,,,,
,,,Sammlung ungarischer Melodien,D-BHna,NA II C h Nr. 1,,,Skizze,,Reinschriften / Skizzen | Sammlung,,x,,,,,Lento - Allegro guerriero,,Kl,Lento - Allegro guerriero,,,,,,,,,,,,Liszt (schwarze Tinte),S. 23-25,"Querformat, 171 x 213 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Stück besteht aus einer langesamen Einleitung (S. 23, Lento, Abbreviaturen A-E) und einem raschen Hauptteil (S. 24-25, Allegro guerriero). Beim Lento ist ein Nacharbeiten mit einer anderen, schwarzen Tinte zu erkennen. Damit ergänzte Liszt das Verweiseichen, dass zu der Ergänzung ""2da volta"" rechts neben dem dritten System führte, sowie die Weiterführung und harmonischen Grundierung der Koloraturen im letzten System. ",,,https://digital.wagnermuseum.de/ncrw/content/zoom/25804,DTie,,,,
