"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. (falls vorhanden),Titelei Umschlag oder Titelblatt,Digitalisat Titelei,Widmung (diplomatisch),Verlag,Verlags GND-Nr.,Ort (normiert),GND-Nr. Ort,Plattennummer,Stecherei,Stecherei GND-Nr.,Preis,Abbildung (figurativ),Druckumfang,Drucktyp,Kopftitel,Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode ,Text-Incipit (diplomatisch),Titel Umschlag und/oder Titelblatt (handschriftliche Zusätze),Kopftitel (handschriftliche Zusätze),Geschenkvermerk (handschriftlich) (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (handschriftlich) (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (zS/fremde Hand),Umfang,Papiermaß,Wasserzeichen (intern),Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Personen,Datierung ermittelt (maschinenlesbar),Datierung Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale / Zustand der Quelle (intern), Inhalt (interner Vermerk),"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.)",Datierung Erstauflage,Kommentar Datierung Erstauflage
,,R 610b,Repos (Über allen Gipfeln ist Ruh'),D-WRgs,GSA 60/Dep. H 12h,,,Partitur,Korrekturabzug,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,703,,,,,S. 37-39,Plattendruck,"""UEBER ALLEN GIPFELN IST RUH'.""","T/Mez, Kl","Lent et calme | Langsam, sehr ruhig",,Deutsch | Französisch,Ueber allen Gipfen ist Ruh | Tout sommet et repose et se tait,,Die französische Variante des Titels ist von zS (rote Tinte) oberhalb des gedruckten deutschen Titels geschrieben: Repos.,,,,,,rote Tinte,"zS (rote Tinte), zS (Bleistift)","2 Blatt (3 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 334 x 268 mm, 9-12 Notenzeilen",,,,,,,,,,,,"Der zS trägt in den Druck die französische, von [Gustave Lagye 1157513743] stammende Übersetzung des Gesangtextes ein (rote Tinte). Liszt trägt Pedalanweisungen nach und kennzeichnet einige Dezimklänge als zu arpeggieren (rote Tinte). Des Weiteren gibt es eine Bleistifteintragung (S. 37), die der Zuordnung des französischen Gesangstextes zu den entsprechenden Noten der Melodie (S. 37).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210998,BV,,,,,214
,1001247542,R 488 | S 12 | J22,Requiem,D-WRgs,GSA 60/C 1,,[Alexander Wilhelm Gottschalg 116794526],Partitur,Korrekturabzug,,,51057539,"REQUIEM | Fr. Liszt. | LEIPZIG, C. F. KAHNT. $ Requiem | für | Männerstimmen | (Soli und Chor) | mit Orgelbegleitung | componirt von | Franz Liszt.",,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,1353 | 1354 | 1355 | 1356 |1357,W. Benicke in Leipzig,1072959267,2½ Thlr.,,"Umschlag, Titelseite, S. 3-63",Plattendruck,Requiem von Franz Liszt.,"MCh (TTBB), Trp in D und F, 2 Pos, Pk ad lib., Org",,,,,"""Franz Liszt: | Requiem für | Männerchor & Orgel. | A W Gottschalg. | Mit eigenhändigen Bemerkg. v. | Dr F. Liszt."" Der Titel auf dem Schutzumschlag ist mit schwarzer Tinte geschrieben. Die Anmerkung ""Mit eigenhändigen ..."" ist mit anderer schwarzer Tinte von anderer Hand notiert und teils mit rotem Stift unterstrichen. ",Die Kopftitel der Einzelsätze sind von Liszt mit roter Tinte mit Metronomangaben ergänzt.,,,,,,"schwarze und rote Tinte, blauer Stift",[Alexander Wilhelm Gottschalg 116794526] (schwarze Tinte),"36 Blatt zu 18 Bogen (Fadenheftung, Umschlag, 2 Titelseiten, 61 Seiten Notentext, 8 Leerseiten, paginiert) ","Hochformat, 306 x 247 mm, 11-17 Notenzeilen",,xxxx-xx-xx [Alexander Wilhelm Gottschalg 116794526],,,,,,,,,,"- Es handelt sich um einen Abzug der zweiten Auflage des Requiems, da den üblichen Sätzen der Messe als sechster Satz das ""Libera me"" hinzugefügt ist, das eigentlich zum Totenoffizium, nicht zur Messe, gehört.
- S. 1: oben rechts ein von [Alexander Wilhelm Gottschalg 116794526] stammender handschriftlicher Hinweis: ""B. Die mit rother Tinte ge-/schriebenen Bemerkungen sind v. Dr. Franz Liszt."" (schwarze Tinte), unten am rechten Rand Gottschalgs Signatur (blauer Stift)
- S. 3: Liszt fügt einen neuen Anfang des Requiems ein und notiert dazu den Hinweis ""4 AnfangsTakte Orgel allein (8 Fuss)"" (schwarze Tinte, blauer Stift, rote Tinte). Der neue Anfang soll dem Chor die Intonation ermöglichen, während die Vorschrift 8' die Orgel in der Lage des Chors spielen lässt. 
- In den Messätzen Requiem aeternam, Dies irae, Offertorium und in dem hinzugefügten Liebera me ersetzt Liszt das im Abzug vorgeschriebene Tempo ordinario durch Alla breve (blauer Stift).
- Bei allen Sätzen der Messe und bei sämtlichen Änderungen der Tempovorschriften fügt Liszt Metronomangaben ein (rote Tinte).
Ferner scheint Liszt bei der Druckausgabe auch pragmatische Gesichtspunkte wie Übersichtlichkeit und leichte Verständlichkeit zu berücksichtigen. So korrigiert er auf S. 20 die Positionierung der Ziffern für den Fingersatz an der Orgel: ""Besser die Ziffern 2 1 vor den Noten, nicht unten, setzen (rote Tinte). In anscheinend derselben Absicht ersetzt oder ergänzt er auf S. 42 den Hinweis ""post elevationem"" durch ""Nach der Wandlung"".
- Neben den auffälligen Änderungen enthält der Abzug wenige kleinere Korrekturen der Noten (etwa S. 18, rote Tinte), Vorzeichen (etwa S. 56, 58, rote und schwarze Tinte), der Dynamik (etwa S. 4, 10, rote Tinte), Ausdruck (etwa S. 15, rote Tinte).",GSA-Findbuch: aus Gottschalgs Nachlass,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190931,BV,,,,,215
,1001235126,R 385 | S 266 | E39,Requiem,D-WRgs,GSA 60/M 9,,,Partitur,Korrekturabzug,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2782,W. Benicke in Leipzig,1072959267,,,S. 3-14,Plattendruck,REQUIEM. $ Dies irae. $ Recordare pie Jesu. $ Sanctus. $ Benedictus. $ Agnus Dei. $ Postludium (ad libitum.),Org,Adagio sostenuto $ Alla breve molto mosso $ Lento assai $ Maestoso assai $ Lento $ Lento $ Lento,[Halbe] = 44 $ [Halbe] = 88 $ [Halbe] = 50 $ [punktierte Halbe] = 46 $ [punktierte Halbe] = 40 $ [Halbe] = 48,,,,,,26/1. 85,1885-01-26,,,schwarze und rote Tinte,,"6 Blatt zu 1 Bogen und 4 Einzelblatt (12 Seiten Notentext, paginiert)","Querformat, 324 x 247 mm, 6-9 Notenzeilen",,"1970-xx-xx, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,Längsfalz,,"Oben auf S. 3 ist mit Bleistift notiert ""Noch ein Revisions-Abzug von dem Druck!"" (vermutlich Dr) Insgesamt nur geringe Korrekturen.","GSA-Findbuch: Ankauf von Prof. [Günther] Kraft, Weimar 1970","Datierung: Stempel des Stechers, Eingangsvermerk",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:198840,BV,,,,5,216
,1001235126,R 385 | S 266 | E39,Requiem,D-WRgs,GSA 60/M 9a,,,Partitur,Dedikationsexemplar,,,,ALBUM | FÜR | ORGEL-SPIELER. | EINE | SAMMLUNG VON ORGELCOMPOSITIONEN | ÄLTERER UND NEUERER MEISTER | ZUM | STUDIUM UND ÖFFENTLICHEN VORTRAG. $ REQUIEM | für die | Orgel | componirt von | FR. LISZT. ,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2782,,,2 Mk.,,"Umschlag, Titelseite, S. 3-14",,REQUIEM. $ Dies irae. $ Recordare pie Jesu. $ Sanctus. $ Benedictus. $ Agnus Dei. $ Postludium (ad libitum.),Org,Adagio sostenuto $ Alla breve molto mosso $ Lento assai $ Maestoso assai $ Lento $ Lento $ Lento,[Halbe] = 44 $ [Halbe] = 88 $ [Halbe] = 50 $ [punktierte Halbe] = 46 $ [punktierte Halbe] = 40 $ [Halbe] = 48,,,,,[A. W. Gottschalg 116794526] | freundschaftlich | F. Liszt | (20/4. 85),20/4.85,1885-04-20,,,schwarze Tinte,,"10 Blatt zu 5 Bogen (Umschlag, 1 Titelseite, 12 Seiten Notentext, 5 Leerseiten)","Querformat, 239 x 325 mm, 6-9 Notenzeilen ",,Heinrich Stockhorst,"2017-xx-xx, Ursula Stockhausen",,,,,,,,,"Es handelt sich um das [Alexander Wilhelm Gottschalg 116794526] Exemplar des Erstdrucks vom ""Requiem für Orgel"". Der Geschenkvermerk ist austograph von Liszt mit schwarzer Tinte rechts überhalb des Titels geschrieben, von Gottschalg stammt das darunterliegende Datum. Von dem Vermerk abgesehen finden sich keine Eintragungen Liszts in dem Druck. Die von Liszt in den Korrekturabzug (GSA 60/M 9) eingetragenen Änderungen sind hier bereits in den Druck aufgenommen. ",Zugangsvermerk in GSA Archivdatenbank (intern),,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:476961,BV,,,,5,217
,,"R 542,1",Rheinweinlied,H-Bn,Ms. mus. 7.443,,Orsz Széchényi Könyvtár,Partitur,korrigierter Druck,,,,"Vierstimmige | MÄNNERGESÄNGE | componirt von | FRANZ LISZT. | N° 1. Rheinweinlied Text von Herweg. | N°2. Studentenlied aus Göthe's Faust. | N°3. Reiterlied, 1e Version Text von Herwegh. | N°4. id. ",,,B. Schott's Söhne,4053219-7,Mainz | Antwerpen | Brüssel,,7045/1 ,,,,,,Plattendruck,RHEINWEINLIED,"MCh (TTBB), Kl",Allegro deciso,,Deutsch,Wo solch ein Feuer noch gedeiht,,,"Gewidmet seinem Freunde J. LEFEBVRE [keine GND, evtl der Maler Jules 117614734].",30ten Juni | 84,1884-06-30,,,"schwarze, rote und violette Tinte",,"5 Blatt zu 1 Bogen und 3 Einzelblatt (1 Titelseite, 8 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 234 x 150 mm",,,,,,,,,,"der Druck wurde, wohl in aller Eile, ziemlich schräg zusammengeschnitten, die Knickfalte quer zur Mitte könnte darauf hindeuten, dass es per Post an jenen Carl Huber geschickt wurde",,"Druck mit Korrekturen von Liszt, v.a. mit roter Tinte, dabei geht es vor allem um einzelne falsche Töne. Zur höheren Deutlichkeit notiert Liszt die Korrektur auf S. 3 bei ""Verbleiben"" noch einmal auf einem freihändigen System unter dem Druck. Auf S. 3, System 5, T. 2 korrigiert Liszt ein b mit violetter Tinte. Hinweis zum unteren System auf S. 5 mit roter Tinte unterhalb des Drucks: ""+ FA im 2ten Tenor, anstatt ges!"" 
Hinweis von Liszt quer zum Druck mit Tinte geschrieben: ""Ich bitte den mir freundschaftlich gewogenen | Capellmeister, [Carl Huber 104763323X], Dirigent des | nächsten ungarischen Landes | Musik und Gesang Fest in | Miskolcz, dieses Rheinweinlied | zum Gebrauch des | Miskolczer Fests zu | instrumentiren. | ergebenst F. Liszt 30ten Juni | 84.
Die Datierung steht bei der auf dem Titelblatt versehenen Bitte um Instrumentierung des Liedes.",Dem Musikfest und dem Verbleiben der Instrumentation wäre einmal nachzugehen. Wahrscheinlich meint Liszt heir aber die Stadt Miskolc (?),"Zu Carl Huber s. bei Eckhardt, S. 65, FN 89: Károly Huber (1828-1885) Hungarian violinist, composer and choral conductor, violin teacher at the Budapest Academy of Music from 1884 onwards.""
Zusätze zum Titelblatt: 23 "" "" "" "" | N.° 1 [?] | Eigenthum der Verleger. Eingetragen in das Archiv der Union | MAINZ | ANTWERPEN UND BRÜSSEL | bei B. Schott's Söhnen",wird bestellt,DTie,,,,,219
,1001352501,R 572b | S 284/2 | N25/2,S'il est un charmant gazon,D-WRgs,GSA 60/D 101,,,Partitur,korrigierter Druck,,x,1001352494,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,706,,,,,S. 11-15,Plattendruck,"""S'IL EST UN CHARMANT CAZON""","T, Kl",Allegretto con moto e grazioso,,Französisch | Deutsch,S'il est un charmant gazon | Gibt es wo einen Rasen grün,,,,,,,,,"zS (rote Tinte), Dr (Bleistift)",S.11-15 (von 11 Blatt),,,,,,,,,,,,,"Im gesamten Notentext sind von zS zahlreiche Textkorrekturen mit rosa-roter Tinte eingetragen, dazu vermerkt Dr mit Bleistift oben auf jeder Seite ""Corr"". Der Notentext enthält keine Korrekturen von Liszt.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191649,UR,,,,,220
,,R 430 (671),Salve Polonia. Interludium,D-WRgs,GSA 60/Dep. H 5b,,,Partitur,korrigierter Druck,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2764,,,,,S. 3-52,Plattendruck,"Stanislaus. | Oratorium. | ""Salve Polonia"" | Interludium","Orch (2 Fl, 2 Ob, 2 Klar in A, 2 Fg, 4 Hr in E, 2 Trp in E, 2 Tpos, 2 Bpos, Pk, Vl, Vla, Vlc, Kb)",Andante pietoso. Moderato assai,[Viertel] = 66,,,,,,,,,,"rote und schwarze Tinte, roter Stift","Dr (blauer Stift, Bleistift)","50 Blatt (50 Seiten Notentext, 50 Leerseiten)","Hochformat, ??? x ??? mm",,,,,,,,,,Das Papier ist nur einseitig bedruckt.,,Liszt belässt es in diesem Druck bei Ergänzungen von Dynamik und kleineren Korrekturen von Noten und Vorzeichen. Substantielle Eingriffe in die Komposition erfolgen nicht. ,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210911,BV,,,,,221
,,"R 251,1","Schubert: Drei Märsche, Nr. 1 Trauermarsch",H-Bn,ZR 36,V 396 / 479 / 1962,OSZK lelt. Zenesmütár,Partitur,,,,,SCHUBERT'S MÄRSCHE | für das | PIANOFORTE SOLO | von | Franz Liszt | N° 1,,Herrn Mortier de Fontaine,A. Diabelli & Comp.,2092054-4,Wien ,4066009-6,D. et C. 8454,,,,,,Plattendruck,"FR. SCHUBERT'S MÄRSCHE | für das Pianoforte übertragen von | FRANZ LISZT. | Wien, bei A. Diabello und Comp. Graben N° 1133. | N° 1. Trauermarsch.",Kl,Andante mesto,,,,,,,"Budapest, | 27ten März | 79.",1879-03-27,Budapest,4008684-7,schwarze Tinte,,"12 Blatt zu 6 Bogen (Einband, Schmutztitel, 1 Titelseite, 1 Titelseite, 18 Seiten Notentext, 4 Leerseiten, paginiert)","Hochformat, 326 x 263 mm, verschiedene Notenzeilen",,,,,,,,,,"gebunden in grauweißem Einband, 318 x 237 mm, 2 Schutzblatt ",,"Liszt schrieb seinen Text auf die innere Titelseite, ob er auch die Widmung an de Fontaine mit zinnoberrotem Stift gestrichen hat, ist unmöglich zu verifizieren, aber denkbar. Der von ihm sicher geschriebene Text lautet: Druck: [SCHUBERT'S MÄRSCHE | FÜR DAS | Pianoforte solo | VON | FRANZ LISZT.] Liszt, handschriftlich: 1846, geschrieben, und am 26ten März, in | dem Concert ""zu Gunsten | "" der Szegediner und Alfölder | ""Überschwemmten"" | hier gespielt, von | F. Liszt | Budapest, | 27ten März | 79.
Es finden sich sporadische Bleistifteintragungen von fremder Hand in dem Druck.",Es handelt sich also um einen erneuten Beitrags Liszts für ungarische Flutopfer,Wohl nur von Liszt beschriebenes Titelblatt interessant für Reproduktion,wird bestellt,DTie,,,,,223
,,R 250 | S 425 | A48,Schuberts ungarische Melodien ,US-Wc,ML96 .L58 (Case),,Geschenk von Mrs. Alice A. Szanto und Mrs. Rufus C. Phillips Jr. vom 1956-10-26,Partitur,Korrekturabzug,x,,,,,,A. Diabelli & Comp. ,2092054-4,Wien ,4066009-6,D. et C. 8354 ,,,,,,Plattendruck,"Cah. 2. Schubert's ungarische Melodien | (aus dem ungarischen Divertissement zu 4 Händen, op. 54) | zu 2 Händen gesetzt von | Fr. Liszt.",Kl,Andante con moto,,,,,,,,,,,"rote und schwarze Tinte, roter Stift",,"7 Blatt (13 Seiten Notentext, 1 Leerseite, paginiert)","Plattengröße: Hochformat, 192 x 130 mm",,,,,,,,,,,,"Liszt hat den Druck intensiv bearbeitet.
- S. 3-4: Seite 3 ist vollständig gestrichen einschließlich des ersten Takts auf Seite 4, Die Streichung ist mit dem Buchstaben A gekennzeichnet (roter Stift), was vermutlich auf ein Korrekturblatt verweist, das dem Druck allerdings nicht beiliegt. Auf Seite 4 streicht Liszt zudem die an die zweite Akkolade gefügte Notation für Klaviere, die lediglich über 6 Oktaven Umfang verfügen.
- S. 5: In der ersten Akkolade streicht Liszt in der linken Hand die erste Takthälfte in Takt 1 und ersetzt sie auf dem linken Seitenrand (rote und schwarze Tinte). Eine Änderung nimmt er auch in der linken Hand in Takt 4 der dritten Akkolade vor, die er direkt in den Takt notiert. In den ersten beiden Takten der letzten Akkolade ist die linke Hand gestrichen und auf dem Seitenrand darunter neu geschrieben (rote und schwarze Tinte).
- S. 6: In der zweiten Akkolade ist in Takt 3-4 die rechte Hand gestrichen und auf dem rechten Rand durch neuen Notentext ersetzt (rote Tinte). In der dritten Akkolade ist der Takte vor dem Doppelstrich (T 2) gestrichen und auf dem rechten Seitenrand neu geschrieben (rote und schwarze Tinte) beginnend mit dem ersten Takt nach dem Doppelstrich ist der Rest der Seite vollständig gestrichen. Liszt verweist auf dem rechten Seitenrand mit dem Buchstaben ""B"" auf das Korrekturblatt (roter Stift).
- S. 7: Die Streichung von der vorigen Seite setzt Liszt hier fort. Abgesehen vom letzten Takt auf der Seite ist der Notentext gestrichen (roter Stift).
- S. 8-9: Auf Seite 8 sind die letzten drei Takte gestrichen. Die Streichung umfasst den Notentext bis einschließlich Takt 2 in der zweiten Akkolade auf Seite 9. Liszt verweist mit dem Buchstaben ""C"" (S. 8) ein weiteres Mal auf das Korrekturblatt oder die Korrekturblätter. In Anschluss an die Streichung notiert Liszt ""Mit Ossia"".
- S. 12-13: In der ersten Akkolade auf Seite 12 ist die linke Hand in Takt 3 gestrichen und auf dem rechten Seitenrand neu geschrieben (rote Tinte), ebenso ist auf dem rechten Seitenrand die linken Hand aus dem ersten Takt der zweiten Akkolade neu geschrieben (schwarze Tinte). Die letzte Akkolade auf der Seite ist gestrichen und mit der Anweisung versehen: ""Vide D Seite 8"" (roter Stift). Die Streichung schleißt den ersten Takt auf Seite 13 ein. 
- S. 14-15: Auf Seite 14 ist die Passage von Takt 2 in der ersten bis Takt 2 in der zweiten Akkolade mit dem Hinweis ""Ossia"" gekennzeichnet (roter Stift). An die dritte Akkolade ist auf dem rechten Seitenrand ein Wiederholungstakt hinzugefügt (schwarze Tinte). Die unterste Akkolade ist gestrichen. Der Notentext auf der anschließenden Seite 15 ist vollständig gestrichen und mit der Anweisung versehen: ""Vide Schluss Seite"". Gemeint ist vermutlich wieder ein Korrekturblatt.","Liszt überarbeitet den Druck der erleichterten Fassung von ""Schuberts ungarischen Melodien"", um offenbar eine weitere Version oder Fassung zu erstellen. ",,https://hdl.loc.gov/loc.music/musliszt.100703,BV,,,,,224
,,R 250 | S 425 | A48,Schuberts ungarische Melodien ,US-Wc,ML96 .L58 (Case),,,Partitur,,,x,,,,,,,,,,,,,,,,,Kl,,,,,,,,,,,,,,7 Blatt zu 1 Bogen und 5 Einzelblatt,"Hochformat, 331 x 260 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,,,,fehlt,,,,,,225
,,R 250 | S 425 | A48,Schuberts ungarische Melodien (Mélodies hongroises),US-Wc,ML96 .L58 (Case),,Geschenk von Mrs. Alice A. Szanto und Mrs. Rufus C. Phillips Jr. vom 1956-10-26,Partitur,Korrekturabzug,,,,Melodies hongroises | d'après Fr. Schubert | par | F. LISZT $ MELODIES HONGROISES  | d'après | Fr. Schubert | pour PIANO seul | par | F. LISZT ,,,A. Diabelli & Comp. ,2092054-4,Wien ,4066009-6,,,,f 1. x C. M. ,x,,,MELODIES HONGROISES | (d'après Schubert) | pour le Pianoforte seul | par Fr. Liszt. | Cah. 2.,Kl,,,,,,,,,,,,,,,"Plattengröße: Hochformat, 191 x 132 mm",,,,,,,,,,,,,,,https://hdl.loc.gov/loc.music/musliszt.100692,,,,,,226
,,R 119,Sechs Präludien und Fugen für die Orgel. Für das Kl. übertragen,D-WRgs,GSA 60/U 46,,,Partitur,korrigierter Druck,x,,,6 | Präludien und Fügen | für Orgel mit Pedal | von | J. S. BACH | für das Pianoforte allein | gesetzt | von F. Liszt $ Sechs | PRÄLUDIEN und FUGEN | für | Orgel oder Pianoforte | mit Pedal | von | JOH. SEB. BACH | Neue correcte Ausgabe,,,Tobias Haslinger ,16069828-5,Wien ,4066009-6,4085,,,G 4. - C. M. | 2.16 gr.,,"Umschlag, Titelseite, S. 2-65",Plattendruck,,Org/Kl,,,,,"Liszt ergänzt die gedruckte Titelseite mit roter Tinte um die Zusätze ""für Orgel mit Pedal"" und ""für das Pianoforte allein gesetzt von F. Liszt"". ",,,,,,,"Bleistift, sepia, rote und schwarze Tinte",,"34 Blatt zu ?? Bogen (Umschlag, 64 Seiten Notentext, 2 Titelseiten, 2 Leerseiten, paginiert)","Hochformat, ??? x ??? mm, 15 Notenzeilen",,,,,,,,,,,,,,"Digitalisat nicht vollzählig, Blattangabe in Archivdatenbank auch fehlerhaft (meine ich).",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209465,DTie,,,,,227
,,R 624,Sei still,D-WRgs,GSA 60/Dep. H 13,,,Partitur,korrigierter Druck,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2204,,,,,S. 24-25,Plattendruck,Sei still.,"Singst, Kl",Langsam,,Deutsch,"Ach, was ist Leben doch so schwer",,,,,,,,,,S. 24-25 (von 32 Blatt),,,,,,,,,,,,,"Oberhalb des Titels weist Liszt wiederum auf das Einfügen des Liedes ""Die Fischerstochter"" (R 619) hin (sepia Tinte), das vor ""Sei still"" als Nr. 9 seinen Platz finden soll. Am Ende des Liedes ergänzt der den Namen der Textautorin, [Frau von Schorn 116922842] für Henriette von Schorn (rote Tinte).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210999,BV,,,,,228
,,R 624,Sei still,D-WRgs,GSA 60/D 99,,,Partitur,Korrekturabzug,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,3197,,,,,S. 32-33,Plattendruck,Résignation. | Sei still.,"Singst, Kl",Lent | Langsam,,Französisch | Deutsch,"Ah! quils sont lourds Nos tristes jours | Ach, was ist Leben doch so schwer",,,,,,,,,,S. 32-33 (von 36 Blatt),,,,,,,,,,,,,Enthält keine Korrekturen.,Vgl. GSA 60/D 102,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191645,UR,,,,,229
,,"(R 530,3)","Septem sacramenta, Nr. 3 Eucharistia",H-Bn,T 1/4,V 1920 / 1985,Orsz Széchényi Könyvtár,Partitur,Dedikationsexemplar,,,,SEPTEM | SACRAMENTA | RESPONSORIA | CUM ORGANO VEL HARMONIO CONCINENDA | AUCTORE | FRANCISCO LISZT | [...] III. EUCHARISTIA | [...] | ROMA | AUTOGRAFIA DI P. MANGANELLI | impressa da LUCIANI litografo | Via de S. Marcello 48,,,Manganelli,keine,Rom,4050471-2,P. 512. M,,,,,,Lithographie (?),III. EUCHARISTIA,"GCH (SSATB), Org",Andante non troppo lento ,[Halbe] = 69,Lateinisch,O sacrum convivium,,,[Carl Thern 117302791] | freundschaftlich | FLiszt. | Januar 79 - Budapest.,Januar 79 - Budapest.,1879-01-xx,Budapest,Budapest,schwarze Tinte,,"5 Blatt zu 2 Bogen und 1 Einzelblatt (1 Titelseite, 6 Seiten Notentext, 2 Leerseiten, paginiert)","Hochformat, 262 x 187 mm, 10-12 Notenzeilen",,,,,,,,,,Bedruckt mit roten (Septem Sacramenta; Francisco Liszt) und schwarzen (Rest) Buchstaben,,"Einzelsatz aus den Sieben Sakramenten, von Liszt auf dem Titelblatt mit einem Geschenkvermerk mit schwarzer Tinte versehen.
Widmung von Liszt unten auf dem Titelblatt. Der Druck weist sonst keine weiteren Eintragungen von Liszt auf.",S. ([1]2-6),,wohl nur Widmung für ein Digitalisat interessant,DTie,,,,,230
,1001248038,R 530 | S 52 | J35,"Septem Sacramenta, VII. Matrimonium",D-WRgs,GSA 60/C 4,,,Partitur,,,x,"1001248044, 51007157",SEPTEM | SACRAMENTA | RESPONSORIA | CUM ORGANO VEL HARMONIUM CONCINENDA | AUCTORE | FRANCISCO LISZT | I. BAPTISMA IV. POENITENTIA | II. CONFIRMATIO V. EXTREMA UNCTIO | III. EUCHARISTIA VI. ORDO | VII. MATRIMONIUM,,,Pacifico Manganelli,[keine GND],Rom ,4050471-2,P. 513 M.,Luciani,[keine GND],,,"Titelseite, S. 1-6",Lithographie,VII. MATRIMONIUM,"Mez, MCh (TTBB), Org",,,Lateinisch,Sacramentum hoc magnum est,,,,,,,,schwarze Tinte,,"5 Blatt zu 2 Bogen und 1 Einzelblatt (1 Titelseite, 6 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, 262 x 187 mm, 10-15 Notenzeilen",,,,,,,,,,,,"Liszts Eintragung auf dem Umschlag lautet: ""Nicht veröffentlicht bis jetzt - | Dezember 84 | F. Liszt"". Bei dem Druck handelt es sich um eine Lithographie (Autographie) des siebten Satzes der ""Septem Sacramenta"", die in kleiner Auflage vermutlich im Freundeskreis Liszts zirkulierte. Der Druck enthält weder die deutsche Übersetzung noch die Anweisungen für die Orgelregistrierung.
Der Haupttitel und der Name des Komponisten sind rot gedruckt.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190973,BV,,Copyright 1906 [modernder Druck],,,231
,"1001249723
",R 532a | S 42/1 | J27/1,Tantum ergo,D-WRgs,GSA 60/C 12,,,Partitur,Korrekturabzug,,x,1001249304,Zwölf | Kirchen-Chor-Gesänge | mit Orgelbegleitung | von | FRANZ LISZT.,,,C. F. Kahnt Nachfolger,5274010-9,Leipzig ,4035206-7,1440/4,,,60 Pf.,,"Titelseite, S. 3-5",,IV | Tantum ergo.,"FCh (SSAA), Org",Lento sostenuto ed espressivo,,Lateinisch,Tantum ergo sacramentum,,,,,,,,,"Dr? (Bleistift, roter Stift)","3 Blatt zu 1 Bogen und 1 Einzelblatt (1 Titelseite, 3 Seiten Notentext, 1 Seite Text, 1 Leerseite, paginiert und foliiert)","Hochformat, 270 x 170 mm, 12 Notenzeilen",,"1970-xx-xx, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,,,"Kleinere Korrekturen von Noten- und Gesangstext, etwa Bindebögen und Kommata (Bleistift, rosa Buntstift).","GSA-Findbuch: Ankauf von Prof. [Günther] Kraft, Weimar 1970",Korrekturabzug befindet sich auf Blatt 35r-37v. Die Stücke der Sammlung wurden auch als Einzeldrucke vertrieben. Die Seitennummerierung erfolgt für jedes Stück separat.,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191022,BV,,,,,232
