"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr. (R | S | E/M),"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Autor Titelei (Liszt egh.),Kopftitel,Autor Kopftitel (Liszt egh.),Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (fremder Hand),Umfang,Papiermaß,Wasserzeichen (intern),Verlag (normiert),Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Datierung ermittelt (maschinenlesbar),Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.) (intern)",Quellenautorität (für die Abbildung der Reiterstruktur in der Datenbank),Schreiber Umschlag/Titelblatt Bezug zu O,Schreiber Kopftitel Bezug zu Q,Schreiber zu AB gehörig bitte mit Information in AC kombinieren 
,1001340843,R 428 | S 111 | G37,Zweiter Mephisto-Walzer,D-WRgs,GSA 60/A 25,Ms A 25,Liszt-Museum Weimar,Partitur,,,,,,,2ter Mephisto Walzer,schwarze Tinte,"Orch (Picc, 2 Fl, 2 Ob, 2 Klar in B und A, 2 Fg, 4 Hr in F, 2 Trp, 2 Tpos, Bpos, Tb, Trg, Bck, Pk, Vl, Vla, Vlc, Kb)",Allegro,,,,,Dezember - | Januar (81) | Villa d'Este | FLiszt,1880-12-xx-1881-01-xx,Villa d'Este,4431211-8,"schwarze und rote Tinte, roter und blauer Stift",,"16 Blatt zu 8 Bogen (Einband, 27 Seiten Notentext, 5 Leerseite, paginiert)","Hochformat, 354 x 267-270 mm, 20 Notenzeilen, handrastriert; Hochformat, 328 x 243 mm, 21 Notenzeilen, handrastriert, S. 1-4; Überklebung S. 1a, 119 x 221-230 mm, 4 Notenzeilen, handrastriert",,,,,,,,,,,,"Einband: grün-braunes Marmorpapier, Papier für Schmutztitel mit Wasserzeichen [Raubvogel auf Sockel]",,"Partitur beginnt nicht wie in der Druckfassung, sondern mit einem alternativen Beginn, da Liszt im Vergleich zu der Quelle am Anfang 14 weitere Takte einfügt. Ansonsten gibt es im Detail Abweichungen in der Instrumentation, im Grunde ist der Notentext aber mit dem der Edition identisch. Die Skalen der Violinen stimmen überein (wie in Partitur, GA, ab T. 15), allerdings ist der Holzbläsersatz unterschiedlich gestaltet (Überklebung). So fällt der dieser auf der Überklebung im Vergleich zur Druckfassung komplett weg. Für die teilweise repetitive Instrumentation nutzt Liszt viele ""Faulenzer"" (Ziffernfolgen und ""Bis"") und Verweise auf die entsprechenden Seitenzahlen. Liszt schreibt den Notentext mit schwarzer Tinte, für Korrekturen und Verweise verwendet er roten und blauen Stift, Dynamik und Spielanweisungen sind mit roter Tinte (""bordeaux"") in einem zweiten Durchgang hinzugefügt. Teilweise werden Instrumente der Klarheit halber mit schwarzer Tinte ergänzt (insbes. Blech). Auf S. 1 ist unten im letzten Takt der Viola ein Kreuzvorzeichen mit violetter Tinte eingetragen. Auf S. 3 unten bis S. 5 Ende, Nummerierung der 1-22 Takte mit rotem Stift sowie Verweis mit blauem Stift, ""zu Seite 24 -"". Oben auf S. 5 Hinweis mit roter Tinte, ""Instrumentation wie Seite 2, (wie 8 ersten Takte)"", um nicht alles auszuschreiben. 6. 6 Streichung der Hörner mit blauem Stift sowie Korrektur darunter. Hinweis auf S. 10, ""NB. die 2 Clarinetten auf 2 Zeilen abschreiben - bis auf die nächste Seite -"". Zwischen S. 11 und 12 fügte Liszt für die Druckfassung acht Überleitungstakte ein, die im Manuskript noch nicht enthalten sind. Unten auf S. 12 notiert Liszt zunächst mit schwarzer, dann mit roter Tinte die Stimme der Triangel nach. S. 13: Hinzufügung in schwarzer Tinte: Recitativo Lento assai, dieses wurde im Vergleich mit der GA aber nochmals revidiert und mit dem achttaktigen Solo der Viola substituiert (vgl. dort S. 126, Quasi l'istesso tempo. Un poco moderato"" (nach Doppelstrich wieder ident). S. 15: Nachtrag des Cello-Solos mit roter Tinte unten auf frei gezogenen Linien (""mehr Violoncello Solo""). Die Harfenstimme fehlt im Manuskript, dafür setzt Liszt den Hinweis, ""Vide Arpa -"" neben dem Cello-Solo. S. 19: Große Streichungen mit rotem und blauem Stift, Anbindung wie in Ausgabe (S. 132). Abweichung von Ausgabe ab S. 23, der Mittelteil ist in der wesentlich komprimierter, dort geht es gleich in der GA auf S. 146 weiter mit dem rhythmischen 6/8tel Motiv. Wird identisch wiederholt, darum notiert Liszt mit rotem Stift ""22 Takte, Seite 4, 5, 6 wiederholt | dann weiter | Pag. 25"". Fassung des Schlusses in der autographen Partitur weicht ebenfalls deutlich von der gedruckten Ausgabe ab, die Musik von S. 25 bis zum Schluss auf S. 27findet in der Partitur der GA keine Entsprechung und wurde noch einmal komplett überarbeitet. ","Partitur stellt Variante zur Druckfassung der Carl Alexander Ausgabe (I. 3. Abt., S. 105-160) dar. Wie groß die Abweichungen sind, wäre zu prüfen

Druck in HAAB: urn:nbn:de:gbv:32-1-10036381326
Digitalisat Notentext: 
https://haab-digital.klassik-stiftung.de/viewer/image/4038113078/11/","Datierung: am Ende des Manuskripts
Verweis ""Vide Arpa -"" ich habe aber die Harfen-Arpeggien nicht gefunden - verloren? anderswo notiert?",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190411,DTie,,,,Franz Liszt,Franz Liszt,
,1001259735,R 437 | S 119 | G35,Ungarischer Sturmmarsch,D-WRgs,GSA 60/A 28,,,Partitur,,,,,,,,,"Orch (Picc, 2 Fl, 2 Ob, 2 Klar in A, 2 Fg, 4 Hr in E, 2 Trp, 2 Tpos, Bpos, Tb, Trg, Bck, Cymb, Pk, Vl, Vla, Vlc, Kb) ",,,,,,Villa d'Este | 3 - 5 October | 75 | FLiszt,1875-10-3-1875-10-5,Villa d'Este,4431211-8,"schwarze Tinte, roter Stift",,6 Blatt zu 3 Bogen (12 Seiten Notentext),"Hochformat, 348 x 268 mm, 32 Notenzeilen, handrastriert, S. 1-4; Hochformat, 350 x 268 mm, 32 Notenzeilen, handrastriert, S. 5-12",,,,,,,,,,,,"2 Papiersorten: 1. dunkel, Rastrierung mit sepia Tinte, 2. hell, Rastrierung schwarze Tinte; S. 5 unten abgeschnitten",,"Partitur in Reinschrift mit einigen Rasuren und Korrekturen sowie den für Liszt typischen Kürzel mit Buchstaben (bspw. S. 4, A-P und S. 10, A-N). Perkussionsinstrumente mit Ausnahme der Pauke sind nicht auf der Besetzungsliste auf S. 1 aufgeführt und Cymbal, Becken und Triangel sind nachträglich hinzugefügt, beispielsweise auf S. 7, es gibt jedoch auch Verweiszeichen wie auf S. 9 und 10 oben, ""Vide Triangel Seite 12"". Dort findet sich, unter dem Schluss der Komposition und Liszts Datierung, der Verweis ""Triangel und | Becken - | NB. keine grosse | Trommel"" sowie weitere Verweise, an welchen Stellen die zum Schluss notierten Instrumente eingefügt werden sollen. Ein weiteres später hinzutretendes Instrument ist die Piccolo-Flöte. Instrumentenangaben sind von Liszt, wenn notwendig, mit schwarzer Tinte hinzugefügt. Paginierung erfolgte eigenhändig mit rotem Stift. ","GSA-Findbuch: Eintrag von Goldhammer
In HAAB nur Stimmen und Version für Kl 4hdg",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190414,DTie,,,,,Franz Liszt,
,1001258412,"R 106,4 | S 244/4 | A132/4",Ungarische Rhapsodie Nr. 4,D-WRgs,GSA 60/I 1,"Ms I, 1",Liszt-Museum Weimar,Partitur,,,,,,,IV,Rötel,Kl,"Quasi Adagio, largamente",,,,,,,,,"sepia Tinte, Bleistift, Rötel",,2 Blatt zu 1 Bogen (4 Seiten Notentext),"Hochformat, 338 x 267 mm, 20 Notenzeilen, handrastriert",,,,,,,,,,,,Papier restauriert (Seitenränder),,"Saubere Abschrift von Liszts Hand, Dynamik, Phrasierung und Spielanweisungen sind ebenfalls mit Tinte geschrieben, die auffallend blass wirkt, auch Fingersätze finden sich bspw. bei den Läufen in der letzten Akkolade auf der ersten Seite, Korrekturen der Spielfigur im zweiten System auf [S. 3) sowie Verweiszeichen auf derselben Seite.","Die Einzelbögen entsammen sicher aus einer nicht mehr zusammenhängenden Sammlung, was an der Durchnummerierung zu ersehen ist",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192126,DTie,,,,Franz Liszt,Franz Liszt,
,1001258415,"R 106,5 | S 244/5 | A132/5",Ungarische Rhapsodie Nr. 5,D-WRgs,GSA 60/I 2,"Ms I, 2",Liszt-Museum Weimar,Partitur,,,,,,,V | Heroide-Elegiaque Elegie,"schwarze Tinte, Rötel",Kl,Lento,,,,,,,,,"sepia und schwarze Tinte, Rötel",,2 Blatt zu 1 Bogen (4 Seiten Notentext),"Hochformat, 340 x 268 mm, 20 Notenzeilen, handrastriert",,,,,,,,,,,,erste Seite unten rechts beschädigt und Papier restauriert,,"Saubere Abschrift von Liszts Hand, Dynamik, Phrasierung und Spielanweisungen sind ebenfalls mit Tinte geschrieben, die auffallend blass wirkt. Abkürzungssysteme mit römischen Ziffern (I-VIII) und Buchstaben gelangen hier zum Einsatz [S. 1]. Hinweis auf [S. 2]: ""Die 8 ersten Takte Da Capo"", relativ viele Korrekturen auf [S. 3] (Verlagerung der Linie der rechten Hand in höheres Register, meist im Abstand einer Dezime).",Interessant beim Titel: statt des heute gebräuchlichen Titels Heroide-Elegiaque ist hier das letzte Wort durchgestrichen und mit Elegie ersetzt,"Kopftitel: V [mit Rötel] 
Heroide-Elegiaque Elegie [mit Tinte von Liszt Hand], Elegiaque gestrichen",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192127,DTie,,,,Franz Liszt,Franz Liszt,
,1001258417,"R 106,9 | S 244/9 | A132/9",Ungarische Rhapsodie Nr. 9,D-WRgs,GSA 60/I 3,"Ms I, 3",Liszt-Museum Weimar,Partitur,,,,,IX,Rötel,,,Kl,,,,,,,,,,"schwarze und blaue Tinte, Rötel, Bleistift",,"6 Blatt zu 3 Bogen (1 Titelseite, 10 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 340 x 270 mm, 20 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Striche gleich in der ersten Zeile, da Liszt sich wohl mit dem Schlüssel vertan hat; Hinweis bei Notenzeile 16 auf S. 1]: ""eine | Zeile | leer unter der Baß Linie"" sowie zwei ""+ibid""-Verweise. S. 3 und S. 10: ""Piano a 6 8taven"", S. 6: ""Finale"" vor dritter Akkolade. Wenige Korrekturen und die üblichen Kürzungen (röm. Ziffern und Buchstaben) verwendet. Auf S. 9 wechselt die mit dünnerer Feder geschriebene Tinte in den beiden unteren Systemen in eine dunkelblaue Farbe, wird aber in den letzten Takten wieder schwarz. Paginierung stammt von Liszt mit Bleistift.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192128,DTie,,,Franz Liszt,,Franz Liszt,
,1001258422,"R 106,9 | S 244/9 | A132/9",Ungarische Rhapsodie Nr. 9,D-WRgs,GSA 60/I 4,"Ms I, 4",Liszt-Museum Weimar,Partitur,Stichvorlage,,,,Pesther Carneval,schwarze Tinte,Pesther-Carneval | von | Franz Liszt ,schwarze Tinte,Kl,Moderato a capriccio,,,,,,,,,"schwarze Tinte, Rötel, Bleistift",,"9 Blatt zu 3 Bogen und 3 Einzelblatt (1 Titelseite, 17 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 328 x 260 mm, 14 Notenzeilen, handrastriert; Überklebung S. 9a, Querformat, 45 x 260 mm, 2 Notenzeilen, handrastriert; Überklebung S. 11a, Querformat, 15 x 122 mm, 1 Notenzeile, handrastriert; Überklebung S. 11b, Querformat, 56-60 x 239-242 mm, 3 Notenzeilen, handrastriert; Überklebung S. 16a, Hochformat, 322 x 250 mm, 16 Notenzeilen, handrastriert",,Tobias Haslinger ,2092120-2,10565,,,,,,,,"Querfalz, Papierfarbe ist graubläulich, aber das letzte, aufgeklebte Blatt beige-rötlich",Es handelt sich um eine andere Fassung als GSA 60/I 3. ,"Zunächst macht es den Anschein einer Reinschrift, ab S. 6 kommt der Rötel, zunächst zur Nummerierung von Takten hinzu. S. 9 schwarz-brauner Tinte für Überklebung einer virtuosen Passage [ident mit heutiger Fassung], ab S. 10 nutzt Liszt Rötel für die Eintragungen von Dynamik, Phrasierung und Spielanweisungen (vorher mit Tinte geschrieben) und die Reinschrift wandelt ihren Charakter mehr und mehr zu einem Arbeitsmanuskript. Überklebungen auf S. 11 (untere Akkolade komplett sowie vier Takte des Basses in Notenzeile 10). S. 12 Rasuren und Streichungen sowohl mit Tinte als auch mit Rötel, weitere große Streichungen mit Rötel auf S. 15. Schlussblatt mit anderem, beige-rötlichem Papier komplett überklebt und ab Mitte der Seite aus Platzgründen äußerst eng geschrieben. Die 5 Schlusstakte notiert Liszt auf der Titelseite mit entsprechendem Verweis am Schluss: ""Vide | auf dem | Titel | Blatt"". Liszt paginierte selbst mit Rötel.","Das Manuskript wandelt sich zunehmend von einer Stichvorlage hin zu einem Arbeitsmanuskript. Die Teile und Melodien sind schon fest gefügt, Liszt war aber offenbar nicht mit den verbindenden Abschnitten zufrieden und entschärfte später mit Blick auf die heutige Fassung auch die Virtuosität des Stückes ein wenig.","Kopftitel: zS (schwarze Tinte)
Liszts Kopftitel befindet sich auf der ersten Seite des Digitalisats. Diese war wohl ein unbeschriebener Bogen, bildet nun den Abschluss der Komposition
Raabe differenziert nicht zwischen den beiden Fassungen 60/I 3 und 60/I 4.",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192129,DTie,,,Franz Liszt,Franz Liszt,Franz Liszt,
,1001236109,"R 106,11 | S 244/11 | A132/11",Ungarische Rhapsodie Nr. 11,D-WRgs,GSA 60/I 6,"Ms I, 6",Liszt-Museum Weimar,Partitur,,,,,,,XI,Rötel,Kl,,,,,,,,,,"schwarze Tinte, Rötel",,2 Blatt zu 1 Bogen (4 Seiten Notentext),"Hochformat, 341 x 268 mm, 20 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Saubere Reinschrift mit einigen Streichungen, v.a. auf [S. 2], Angaben zu Dynamik, Pedalisierung und Phrasierung fehlen jedoch fast vollständig (Ausnahme: rallentando unten auf [S. 1])",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192131,DTie,,,,Franz Liszt,Franz Liszt,
,1001238244,"R 106,1 | S 244/1 | A132/1","Ungarische Rhapsodie Nr. 1
(ältere Version)",D-WRgs,GSA 60/I 7,Ms I 7,Liszt-Museum Weimar,Partitur,,,,,,,,,Kl,Lento quasi Recitativo,,,,,,,,,"schwarze Tinte, Rötel",,"10 Blatt zu 2 Bogen und 6 Einzelblatt (18 Seiten Notentext, paginiert)","Hochformat, 326 x 261 mm, 14 Notenzeilen, handrastriert; Hochformat, 323 x 254 mm, 15 Notenzeilen, handrastriert, S. 7-8; Hochformat, 317 x 244 mm, 10 Notenzeilen, handrastriert, S. 15-16; gelöste Überklebung S. 2a, Querformat, 147 x 259 mm, 6 Notenzeilen, handrastriert; gelöste Überklebung S. 14a, Hochformat, 309 x 241 mm, 16 Notenzeilen, handrastriert",,,,,"1916-05-31, Henrici 1916_01, Los 393",,,,,,,,,"Die komplexe Papiersituation zeigt an, dass Liszt wohl nicht kontinuierlich an dem Manuskript gearbeitet hat, es ist in einem zweiten Durchgang mit Rötel mit Dynamik, Vorzeichen, Crescendogabeln und Tempoangaben versehen . S. 7 Eintrag mit Tinte, die Komposition betreffend: ""od. früher Accompagnament des Reckxxxx E dur triolen"". Liszt trägt auch Informationen für den Stich ein, wie auf der Überklebung S. 2a ""in kleinen Noten"" sowie auf S. 7: ""2 Zeilen leer lassen für Ossia"", Hinweis auf S. 8: ""keine | Zeile | leer lassen"". Der Rötel wird auch für Streichungen und für die eigenhändige Paginierung verwendet. Das Manuskript weist deutliche Spuren eines intensiven Korrekturdurchgangs mit Rötel auf.","Diese ältere Fassung weist mit Ausnahme des rezitativischen Beginns nur wenige Ähnlichkeit mit der gedruckten Version auf; im Unterschied zum Pesther Carneval (GSA 60/I 4), wo das Layout der einzelnen Formteile konstant bleibt, wirkt diese ältere Fassung nahezu wie eine andere Komposition.
GSA-Findbuch: S. 13-14 Ankauf 31. Mai 1916 beim Antiquar Karl Ernst Henrici, Berlin.","Kopftitel: ""Liszt, I. Ungarische Rhapsodie"", Raabe (Bleistift), Zusatz: unvollständig
Bitte um Hilfe bei der Transkription auf der Mitte von S. 7.",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192132,DTie,,,,,Franz Liszt,
,1001266763,R 106 | R 244 | A132,Ungarische Rhapsodien,D-WRgs,GSA 60/I 9,,Liszt-Museum Weimar,Partitur,,x,,,,,,,Kl,,,,,,,,,,"schwarze Tinte, Rötel, Bleistift",,"25 Blatt zu 12 Bogen und 1 Einzelblatt (47 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, 340 x 265 mm, 13 Notenzeilen, handrastriert, Blatt 1-2; Hochformat, 340 x 267 mm, 20 Notenzeilen, handrastriert, Blatt 3-21; Hochformat, 336 x 265 mm, 20 Notenzeilen, handrastriert, Blatt 22-25",,,,,,,,,,,,"3 Papiersorten: 1. graues, grobes Papier [Blatt 1-2]; 2. creme-weißes, glattes Papier [Blatt 3-21]; 3. blau-grünes, rauhes Papier [Blatt 22-25]; Paginierung pro Stück",,"Die Quelle beginnt mit vier Seiten mit Rötel notiertem Skizzenmaterial. Sodann stellt sie einen Zusammenschluss der Ungarischen Rhapsodien Nr. 6-8, 10, 12-15 dar. Noten und Korrekturen erfolgen mit schwarzer Tinte, Nummer, Tempo und Streichungen mit Rötel, wenige Ergänzungen wie Bis-Zeichen oder Oktavierungen mit Bleistift, später auch Verweiszeichen mit braunem Buntstift.
Es handelt sich um Abschriften von Liszt, die teilweise unvollständig sind bzw. deren Notation erst später im Stück ansetzt. Generell sind diese Abschriften sehr sauber angefertigt, enthalten aber Spuren von Korrekturen. Der Hinweis, die Noten in der Kadenz der 15. Rhapsodie in kleinen Noten stechen zu lassen (S. [50]) legt den Schluss nahe, dass es sich hier um die Stichvorlage handelt (s.u.).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,DTie,,,,,Franz Liszt,
,1001267006,"R 106,6 | S 244/6 | A132/6",Ungarische Rhapsodie Nr. 6,D-WRgs,GSA 60/I 9,"Ms I, 9|2",Liszt-Museum Weimar,Partitur,,,x,1001266763,,,Vide Lento a Capriccio - VI,Rötel,Kl,Lento a capriccio,,,,,,,,,"schwarze Tinte, Rötel, Bleistift",,Blatt 3r-4v (von 25 Blatt),,,,,,,,,,,,,"Bogenlagerung: S. 2, 3, 4, 1",,"Beginnt (auf der Rückseite des Bogens) erst bei dem Quasi-Rezitativ in Takt 73 (s. NLGA I/4, S. 65). Dort schreibt Raabe: ""(6te Rhapsodie, in der Ausgabe von Haslinger Seite 6 beginnend) | von da ab vollständig R."" Auch die Tempoanweisung unterscheidet sich von der heute bekannten Version (Lento a capriccio statt Andante). Komplett mit Rötel gestrichen ist die folgende S. 2 (Vorderseite des Bogens), die mit ""Vide Lento a Capriccio - VI"", ebenfalls mit Rötel überschrieben, und eine Version der akkordischen ersten Themengestalt enthält. Die Überleitung zum Finale, dessen Melodie der rechten Hand zunächst nicht notiert ist, weicht ebenfalls ab (S. 3).",,"Umfang: 2 Blatt zu 1 Bogen (4 Seiten Notentext, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,DTie,,,,Franz Liszt,Franz Liszt,
,1001267010,"R 106,7 | S 244/7 | A132/7",Ungarische Rhapsodie Nr. 7,D-WRgs,GSA 60/I 9,"Ms I, 9|3",Liszt-Museum Weimar,Partitur,,,x,1001266763,,,VII,Rötel,Kl,Vivace,,,,,,,,,"schwarze Tinte, Rötel, Bleistift",,Blatt 5r-6v (von 25 Blatt),,,,,,,,,,,,,,,"Beginnt mit dem Vivace (s. NLGA I/4, S. 74, T. 32). Liszt schreibt unter der Nummer mit sepia Tinte: ""Die 2 ersten gedruckten Seiten bleiben - dann hier weiter"". Raabe schreibt oben links mit Bleistift: ""Es folgen die ersten zwei Seiten | (der haslingerschen Ausgabe), sonst vollständig | R."" Der Notentext enthält fast keine Korrekturen.",,"Umfang: 2 Blatt zu 1 Bogen (4 Seiten Notentext, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,DTie,,,,Franz Liszt,Franz Liszt,
,1001267015,"R 106,8 | S 244/8 | A132/8",Ungarische Rhapsodie Nr. 8,D-WRgs,GSA 60/I 9,"Ms I, 9|4",Liszt-Museum Weimar,Partitur,,,x,1001266763,,,No. VIII,Bleistift,Kl,,,,,,,,,,"schwarze Tinte, Bleistift",,Blatt 7r-9r (von 25 Blatt),,,,,,,,,,,,,,,"Titel ""No. VIII."" hier mit Bleistift, Raabe schreibt, ""(vollständig)"", Annotation S. 3 oben rechts unleserlich.",,"Transkription prüfen
Umfang: 3 Blatt zu 1 Bogen und 1 Einzelblatt (5 Seiten Notentext, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,DTie,,,,Franz Liszt,Franz Liszt,
,1001267018,"R 106,14 | S 244/14 | A132/14",Ungarische Rhapsodie Nr. 14,D-WRgs,GSA 60/I 9,,Liszt-Museum Weimar,Partitur,,,x,1001266763,,,No. 15,"schwarze Tinte, Bleistift",Kl,,,,,,,,,,"schwarze Tinte, Bleistift",,Blatt 9v-12v (von 25 Blatt),,,,,,,,,,,,,,,"Heute unter Nr. 14 bekannt, Liszt notiert jedoch ""No. [Bleistift] 15 [Tinte]. Hierzu der Hinweis von Raabe: ""(ist im Druck bei Schlesinger No XIV) | (Ausgabe Schlesinger: Anfang bis S. 9 4tes Systhem, dann weiter S. 13 3tes | Systhem 2ter Takt bis zum Schluß) R."" Die Reinschrift weist ein paar Streichungen und eine Bleistiftnotiz zum Verweis ""Vide Seite 12 - Allegretto alla zingarese"" auf S. 9 auf. S. 10 oben links Hinweis mit Tinte ""Koltoi Czardas Seite 17"".",,"Umfang: 4 Blatt zu 2 Bogen (7 Seiten Notentext, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,DTie,,,,Franz Liszt,Franz Liszt,
,1001267021,"R 106,10 | S 244/10 | A132/10",Ungarische Rhapsodie Nr. 10,D-WRgs,GSA 60/I 9,"Ms I, 9|5",Liszt-Museum Weimar,Partitur,,,x,1001266763,,,X,Rötel,Kl,,,,,,,,,,"schwarze Tinte, Rötel, Bleistift",,Blatt 13r-14v (von 25 Blatt),,,,,,,,,,,,,,,"Die Introduktion fehlt, beginnt bei NLGA I/4, S. 5, T. 22. Liszt schreibt mit Rötel: ""Erste Seite Introduction bleibt wie gedrukt [sic!]"", Raabe notiert mit Bleistift ""Änderungen zur 10. Rhapsodie"". Liszt notiert mit Bleistift ""Introduction bleibt"" und markiert den Anfang in Notenzeilen 5 und 6 (entspricht T. 6 der NLGA). Durch ein Verweiszeichen mit Rötel wird der Einschub, der gleich nach der ersten notierten Zeile erfolgt, verdeutlicht. Der weitere Notentext weicht mit zahlreichen Streichungen von dem Stadium der NLGA im Detail ab. Auf S. 3 schreibt Liszt 3x den Hinweis ""2 Zeilen für Ossia leer lassen"" für die Abschrift. Für die 1. Ossia-Stelle schreibt er zusätzlich mit Rötel den Verweis ""Vide am Ende der nächsten Seite"" und notiert den entsprechenden Notentext nach dem Ende des Stückes auf S. 4.",,"Umfang: 2 Blatt zu 1 Bogen (4 Seiten Notentext, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,DTie,,,,Franz Liszt,Franz Liszt,
,1001267027,"R 106,12 | S 244/12 | A132/12",Ungarische Rhapsodie Nr. 12,D-WRgs,GSA 60/I 9,"Ms I, 9|6",Liszt-Museum Weimar,Partitur,,,x,1001266763,,,XII,Rötel,Kl,,,,,,,,,,"schwarze Tinte, Rötel",,Blatt 15r-18r (von 25 Blatt),,,,,,,,,,,,,,,"Verweis Raabes: ""fängt an: Ausgabe Schlesinger Seite 7 | drittes Systhem | von da an vollständig | R."" Reinschrift in Quelle beginnt bei T. 88 in NLGA. Von Liszt sauber geschriebener Notentext mit wenigen Streichungen.",,"Umfang: 4 Blatt zu 2 Bogen (7 Seiten Notentext, 1 Leerseite, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,DTie,,,,Franz Liszt,Franz Liszt,
,1001267031,"R 106,13 | S 244/13 | A132/13",Ungarische Rhapsodie Nr. 13,D-WRgs,GSA 60/I 9,"Ms I, 9|7",Liszt-Museum Weimar,Partitur,,,x,1001266763,,,XIII,Rötel,Kl,,,,,,,,,,"schwarze Tinte, Rötel, Bleistift",,Blatt 19r-21v (von 25 Blatt),,,,,,,,,,,,,,,"Raabe: ""Anfang (Rhapsodiak) | dann vollständig zum Schluss | die A B C D [unleserliche Abkürzung] beziehen sich auf Rhapsodiak"". Die Reinschrift beginnt beim Poco più mosso, T. 25 in NLGA. Der Vivace-Teil (NLGA I/4, S. 56, T. 100) ist im Autograph mit ""Friska"" vorgeschrieben (S. 4). S. 5/6 weist Beschädigung auf und ist oben an der rechten Ecke abgerissen.",,"Umfang: 3 Blatt zu 1 Bogen und 1 Einzelblatt (6 Seiten Notentext, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,DTie,,,,Franz Liszt,Franz Liszt,
,1001267034,"R 106,15 | S 244/15 | A132/15",Ungarische Rhapsodie Nr. 15,D-WRgs,GSA 60/I 9,"Ms I, 9|8",Liszt-Museum Weimar,Partitur,,,x,1001266763,,,XV,Rötel,Kl,,,,,,,,,,"schwarze Tinte, Rötel",,Blatt 22r-25v (von 25 Blatt),,,,,,,,,,,,,,,"Zu Beginn der Komposition auf S. 1, Raabes Verweis ""vollständig"", Reinschrift ist extrem sauber notiert, Hinweis von Liszt mit Tinte auf S. 4: ""Cadenza ad libitum | NB. von hier an alles in kleinen Noten stechen lassen Zeichen + [= Verweiszeichen, das auf die Weiterführung der Komposition auf S. 5 hinweist].",,"Umfang: 4 Blatt zu 2 Bogen (7 Seiten Notentext, 1 Leerseite, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,DTie,,,,Franz Liszt,Franz Liszt,
